# ----------------------------------------
# gd-math-71c48
# Free-form-Free-form 1
# 20260125-20260325
# ----------------------------------------

Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals
matchColorObjectsSet2,1,0,0,10,1,0,0,0,0,0,1,207,207,10,7,1,207,103.5,20,8
matchColorTilesSet3And4,1,0,0,10,1,0,0,0,0,0,1,2,2,10,1,1,2,1,20,2
matchColorTilesTwo,1,0,0,20,2,1,121,60.5,20,20,0,0,0,0,0,1,121,30.25,40,22
matchCombinedCurrency2,1,0,0,4,1,0,0,0,0,0,1,4,4,4,1,1,4,2,8,2
matchEdgesCorners1,1,0,0,20,2,1,65,32.5,20,16,0,0,0,0,0,1,65,16.25,40,18
matchEdgesCornersAll,1,0,0,10,1,0,0,0,0,0,1,25,25,10,3,1,25,12.5,20,4
matchFlipVertical,1,0,0,10,1,0,0,0,0,0,1,5,5,10,1,1,5,2.5,20,2
matchFractionWithImage2,1,0,0,20,2,1,167,83.5,20,20,0,0,0,0,0,1,167,41.75,40,22
matchFruitWithCombinedCurrency6,1,0,0,10,1,0,0,0,0,0,1,31,31,10,2,1,31,15.5,20,3
matchFruitWithCountPictograph,1,0,0,10,1,0,0,0,0,0,1,129,129,10,7,1,129,64.5,20,8
matchGrayFlipHorizontal,1,0,0,20,2,1,57,28.5,20,17,0,0,0,0,0,1,57,14.25,40,19
matchGrayFlipVertical,1,0,0,20,2,1,238,238,10,10,0,0,0,0,0,1,238,79.33333333333333,30,12
matchGrayScaleEffect3,1,0,0,20,2,1,47,23.5,20,17,0,0,0,0,0,1,47,11.75,40,19
matchHeavierLighterSameObject,1,0,0,20,2,1,123,61.5,20,20,0,0,0,0,0,1,123,30.75,40,22
matchHundredsTensAudioFrom10to999,1,0,0,20,2,1,92,46,20,17,0,0,0,0,0,1,92,23,40,19
matchInsideOutsideFirst,1,0,0,10,1,0,0,0,0,0,1,5,5,10,1,1,5,2.5,20,2
matchLeftRightSecond,1,0,0,10,1,0,0,0,0,0,1,93,93,10,5,1,93,46.5,20,6
matchMonthToNumber,1,0,0,10,1,0,0,0,0,0,1,39,39,10,1,1,39,19.5,20,2
matchNumber0To5Count,1,0,0,12,2,1,40,20,12,7,0,0,0,0,0,1,40,10,24,9
matchNumberAudioRepeat1To10,1,0,0,10,1,0,0,0,0,0,1,4,4,10,1,1,4,2,20,2
matchObjectByColorViaAudio4,1,0,0,10,1,0,0,0,0,0,1,44,44,10,2,1,44,22,20,3
matchObjectSetFirst,1,0,0,10,1,0,0,0,0,0,1,35,35,10,7,1,35,17.5,20,8
matchObjectWithFraction3,1,0,0,10,1,0,0,0,0,0,1,44,44,10,6,1,44,22,20,7
matchObjectsViaAudioOfColorSet1,1,0,0,30,3,1,168,84,20,20,0,0,0,0,0,1,168,33.6,50,23
matchOnUnderFirst,1,0,0,10,1,0,0,0,0,0,1,3,3,10,1,1,3,1.5,20,2
matchOnUnderSecond,1,0,0,20,2,1,55,27.5,20,15,0,0,0,0,0,1,55,13.75,40,17
matchRankWithYear,1,0,0,6,1,0,0,0,0,0,1,146,146,6,1,1,146,73,12,2
matchTensOnesWithAudio50To99,1,0,0,20,2,1,146,73,20,16,0,0,0,0,0,1,146,36.5,40,18
matchTopBottomThird,1,0,0,10,1,0,0,0,0,0,1,49,49,10,5,1,49,24.5,20,6
matrixMultiplicationRandomNumbers3,1,0,0,10,1,0,0,0,0,0,1,18,18,10,2,1,18,9,20,3
mergeAndFillAdditionB1To3From5To7,1,0,0,10,1,0,0,0,0,0,1,35,35,10,1,1,35,17.5,20,2
mergeCount1To5,1,0,0,20,2,1,297,148.5,20,20,0,0,0,0,0,1,297,74.25,40,22
mergeCount3To5,1,0,0,12,2,1,225,112.5,12,12,0,0,0,0,0,1,225,56.25,24,14
missingARandomAAndB50To99,1,0,0,10,1,0,0,0,0,0,1,6,6,10,1,1,6,3,20,2
mixedFractionImageMatching1,1,0,0,20,4,1,80,20,20,20,0,0,0,0,0,1,80,10,40,24
multiplication8Table,1,0,0,6,2,1,130,65,6,6,0,0,0,0,0,1,130,32.5,12,8
order9To12,1,0,0,30,5,0,0,0,0,0,1,173,34.6,30,11,1,173,17.3,60,16
orderObjectsBasedOnWeight,1,0,0,6,2,1,48,24,6,6,0,0,0,0,0,1,48,12,12,8
orderUpToFiveCount,1,0,0,10,1,0,0,0,0,0,1,15,15,10,1,1,15,7.5,20,2
orderUpToThreeAudio,1,0,0,6,1,0,0,0,0,0,1,63,63,6,5,1,63,31.5,12,6
orderUpToThreeCount,1,0,0,6,1,0,0,0,0,0,1,41,41,6,4,1,41,20.5,12,5
orderYears,1,0,0,6,1,0,0,0,0,0,1,69,69,6,5,1,69,34.5,12,6
orderingBasedOnMass,1,0,0,20,2,1,286,143,20,20,0,0,0,0,0,1,286,71.5,40,22
orderingBasedOnSize,1,0,0,20,2,1,150,75,20,20,0,0,0,0,0,1,150,37.5,40,22
patternBasicBirds,1,0,0,20,2,0,0,0,0,0,1,9,4.5,20,2,1,9,2.25,40,4
patternBasicFoods,1,0,0,10,1,0,0,0,0,0,1,90,90,10,7,1,90,45,20,8
patternBasicShapes,1,0,0,20,2,1,298,149,20,20,0,0,0,0,0,1,298,74.5,40,22
patternFruits,1,0,0,10,1,0,0,0,0,0,1,187,187,10,10,1,187,93.5,20,11
patternLines,1,0,0,20,2,1,155,77.5,20,20,0,0,0,0,0,1,155,38.75,40,22
patternSameEmptyFullShapes,1,0,0,12,2,1,119,59.5,12,10,0,0,0,0,0,1,119,29.75,24,12
patternwithRotatedFilledShapes,1,0,0,20,2,1,169,84.5,20,18,0,0,0,0,0,1,169,42.25,40,20
recognizingActivity,1,0,0,20,2,1,95,95,10,10,0,0,0,0,0,1,95,31.666666666666668,30,12
recognizingLongAndShortWithAudio,1,0,0,20,2,1,262,131,20,20,0,0,0,0,0,1,262,65.5,40,22
reviseSsWithStaticBas1BXMissingUpTo9,1,0,0,3,1,0,0,0,0,0,1,506,506,3,1,1,506,253,6,2
rollSlideMatching,1,0,0,10,1,0,0,0,0,0,1,29,29,10,5,1,29,14.5,20,6
sequenceGrowthCompartments,1,0,0,20,2,1,284,142,20,19,0,0,0,0,0,1,284,71,40,21
sequenceGrowthEdges,1,0,0,10,1,0,0,0,0,0,1,28,28,10,2,1,28,14,20,3
sequenceImageGrowth,1,0,0,10,1,1,108,108,10,3,0,0,0,0,0,1,108,54,20,4
sequenceWithTimeEventsDecreasing,1,0,0,10,1,0,0,0,0,0,1,2,2,10,1,1,2,1,20,2
sequencingNumber10To30,1,0,0,7,1,0,0,0,0,0,1,136,136,7,3,1,136,68,14,4
sequencingNumber50To70,1,0,0,14,2,1,237,237,7,7,0,0,0,0,0,1,237,79,21,9
simpleIdentificationFoodSet2,1,0,0,30,3,1,71,71,10,10,0,0,0,0,0,1,71,17.75,40,13
simpleIdentificationFruitsOverall,1,0,0,40,4,1,171,42.75,40,37,0,0,0,0,0,1,171,21.375,80,41
simpleIdentificationVegetablesSet4,1,0,0,20,2,1,116,116,10,10,0,0,0,0,0,1,116,38.666666666666664,30,12
smallBigUpTo50Operator,1,0,0,10,1,0,0,0,0,0,1,102,102,10,9,1,102,51,20,10
sortAndStack9sAnd12sBoth,1,0,0,10,1,0,0,0,0,0,1,54,54,10,3,1,54,27,20,4
ssFormHundredsA3BOnes,1,0,0,5,1,0,0,0,0,0,1,1,1,5,1,1,1,0.5,10,2
ssMultiplication13,1,0,0,10,2,0,0,0,0,0,1,51,51,5,4,1,51,17,15,6
ssMultiplication32,1,0,0,10,2,1,964,482,10,9,0,0,0,0,0,1,964,241,20,11
ssMultiplication33,1,0,0,10,2,1,158,158,5,5,0,0,0,0,0,1,158,52.666666666666664,15,7
ssMultiplication35,1,0,0,5,1,0,0,0,0,0,1,543,543,5,4,1,543,271.5,10,5
ssRandomMissingSubtractionUpTo20,1,0,0,5,1,0,0,0,0,0,1,30,30,5,5,1,30,15,10,6
ssSubtractBas1XUpTo9,1,0,0,5,1,0,0,0,0,0,1,620,620,5,1,1,620,310,10,2
ssWithoutCarry1to99RandomAB,1,0,0,20,2,1,29,14.5,20,14,0,0,0,0,0,1,29,7.25,40,16
ssXUpTo9MissingX,1,0,0,3,1,0,0,0,0,0,1,15,15,3,2,1,15,7.5,6,3
stackAnimalsByCategory,1,0,0,10,1,0,0,0,0,0,1,54,54,10,2,1,54,27,20,3
stackBasicShapes,1,0,0,10,1,0,0,0,0,0,1,56,56,10,4,1,56,28,20,5
stackColorTilesTwo,1,0,0,60,6,0,0,0,0,0,1,61,61,10,4,1,61,8.714285714285714,70,10
stackFoodAndToysOverall,1,0,0,10,1,0,0,0,0,0,1,2,2,10,1,1,2,1,20,2
stackFoodAndToysSet1,1,0,0,10,1,1,81,81,10,8,0,0,0,0,0,1,81,40.5,20,9
stackFoodAndToysSet1And2,1,0,0,10,1,0,0,0,0,0,1,111,111,10,6,1,111,55.5,20,7
stackLivingAndNonLivingThingsAL,2,0,0,12,3,0,0,0,0,0,0,0,0,0,0,2,0,0,12,3
stackMultiStick7To9,1,0,0,24,4,1,98,49,12,10,0,0,0,0,0,1,98,16.333333333333332,36,14
stackRedAndYellowSet1,1,0,0,20,2,1,144,72,20,20,0,0,0,0,0,1,144,36,40,22
stackSquareAndCircle,1,0,0,10,1,0,0,0,0,0,1,13,13,10,2,1,13,6.5,20,3
stackTensAndOnes20UpTo50,1,0,0,20,2,1,326,163,20,20,0,0,0,0,0,1,326,81.5,40,22
stackTensAndOnes20UpTo50Audio,1,0,0,20,2,1,84,84,10,9,0,0,0,0,0,1,84,28,30,11
stackVerticalAndHorizontalSymmetry,1,0,0,10,1,0,0,0,0,0,1,36,36,10,1,1,36,18,20,2
stackYellowAndGreenAndRed,1,0,0,10,1,0,0,0,0,0,1,24,24,10,6,1,24,12,20,7
subtractionByFillUpTo9,1,0,0,10,1,0,0,0,0,0,1,6,6,10,1,1,6,3,20,2
tensAndOnesAudio10To50,1,0,0,8,1,0,0,0,0,0,1,9,9,8,3,1,9,4.5,16,4
twoDigitMultiplication3,1,0,0,12,2,1,90,45,12,12,0,0,0,0,0,1,90,22.5,24,14
verticalSmartChartWithFruits,1,0,0,20,2,1,77,38.5,20,15,0,0,0,0,0,1,77,19.25,40,17
withCarryFrom100To499B3,1,0,0,10,2,0,0,0,0,0,1,65,32.5,10,2,1,65,16.25,20,4
writeLevel1To9,1,0,0,10,1,0,0,0,0,0,1,13,13,10,3,1,13,6.5,20,4
writeLevel5To9,1,0,0,10,1,0,0,0,0,0,1,23,23,10,4,1,23,11.5,20,5
zeroOnePatternTextHard,1,0,0,10,1,1,108,108,10,2,0,0,0,0,0,1,108,54,20,3
addingToNumber20ToGetUpTo30,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
dataCollectionFruitCount,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
fractionMultiplication2,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
groupAdditionOf4,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
identifyFruitsSet1ViaAudio,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
introducingMergeFraction1,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
makeThousand1,1,0,0,12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,12,2
matchAudioByColorSet4,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
matchCountNumber3To5,1,0,0,12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,12,2
matchInsideOutsideFour,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
matchObjectByColorViaAudio3,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
matchShapeSquareAndCircle,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
matchTopBottomSecond,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
patternWith3Repeat,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
readBarChart6,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
smallBigFrom50To99Operators,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
ssMultiplication34,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1
twoDigitMultiplication4,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1

